"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年3月22日","29,113.36","29,173.33","29,243.10","28,847.34","1.79B","0.14%"
"2019年3月21日","29,071.56","29,387.75","29,446.77","29,051.85","1.80B","-0.85%"
"2019年3月20日","29,320.97","29,357.19","29,435.81","29,251.25","1.63B","-0.49%"
"2019年3月19日","29,466.28","29,419.14","29,486.15","29,319.51","1.80B","0.19%"
"2019年3月18日","29,409.01","29,112.44","29,409.01","29,034.13","1.95B","1.37%"
"2019年3月15日","29,012.26","28,843.86","29,204.73","28,828.26","2.04B","0.56%"
"2019年3月14日","28,851.39","28,891.06","28,932.47","28,696.31","1.43B","0.15%"
"2019年3月13日","28,807.45","28,924.28","28,924.28","28,690.37","1.22B","-0.39%"
"2019年3月12日","28,920.87","28,760.27","28,941.09","28,734.09","1.92B","1.46%"
"2019年3月11日","28,503.30","28,265.85","28,512.27","28,240.78","1.57B","0.97%"
